family,group,ung_inf,otl_name,trans_route,in_tree,otl_name_red
Creagrocercidae,Nematoda,FALSE,Creagrocercidae,not ungulate parasites,TRUE,Creagrocercidae
Mesidionematidae,Nematoda,FALSE,Mesidionematidae,not ungulate parasites,TRUE,Mesidionematidae
Homungellidae,Nematoda,FALSE,Homungellidae,not ungulate parasites,TRUE,Homungellidae
Dracunculidae,Nematoda,FALSE,Dracunculidae,not ungulate parasites,TRUE,Dracunculidae
Micropleudidae,Nematoda,FALSE,Micropleudidae,not ungulate parasites,FALSE,Micropleudidae
Polystomatidae,Platyhelminthes,TRUE,Polystomatidae,larvae seek/penetrate,TRUE,Polystomatidae
Hasstilesiidae,Platyhelminthes,TRUE,Hasstilesiidae,intermediate host eaten,TRUE,Hasstilesiidae
Schistosomatidae,Platyhelminthes,TRUE,Schistosomatidae,larvae seek/penetrate,TRUE,Schistosomatidae
Echinostomatidae,Platyhelminthes,TRUE,Echinostomatidae,intermediate host eaten,TRUE,Echinostomatidae
Fasciolidae,Platyhelminthes,TRUE,Fasciolidae,larvae on herbage,TRUE,Fasciolidae
Paramphistomidae,Platyhelminthes,TRUE,Paramphistomidae,larvae on herbage,TRUE,Paramphistomidae
Balanorchiidae,Platyhelminthes,TRUE,Balanorchiidae,larvae on herbage,TRUE,Balanorchiidae
Brumptiidae,Platyhelminthes,TRUE,Brumptidae,larvae on herbage,TRUE,Brumptidae
Choerocotyloididae,Platyhelminthes,TRUE,Choerocotylidae,larvae on herbage,TRUE,Choerocotylidae
Cladorchiidae,Platyhelminthes,TRUE,Cladorchiidae,larvae on herbage,TRUE,Cladorchiidae
Gastrodiscidae,Platyhelminthes,TRUE,Gastrodiscidae,larvae on herbage,TRUE,Gastrodiscidae
Gastrothylacidae,Platyhelminthes,TRUE,Gastrothylacidae,larvae on herbage,TRUE,Gastrothylacidae
Olveriidae,Platyhelminthes,TRUE,Olveriidae,larvae on herbage,TRUE,Olveriidae
