"binomial","genus","length","body.mass","db"
"Aimophila aestivalis","Aimophila",NA,20.8,"avian"
"Aimophila aestivalis","Aimophila",NA,19.54339456,"sibly"
"Aimophila botterii","Aimophila",NA,20.35,"avian"
"Aimophila carpalis","Aimophila",NA,15,"avian"
"Aimophila cassinii","Aimophila",NA,17.98,"avian"
"Aimophila quinquestriata","Aimophila",NA,20.33,"avian"
"Aimophila ruficeps","Aimophila",NA,18.8,"anAge"
"Aimophila ruficeps","Aimophila",NA,18.36,"avian"
"Aix galericulata","Aix",NA,570,"anAge"
"Aix galericulata","Aix",NA,570,"avian"
"Aix galericulata","Aix",NA,567.5446054,"sibly"
"Aix sponsa","Aix",NA,450.4,"anAge"
"Aix sponsa","Aix",NA,677.333333333333,"avian"
"Aix sponsa","Aix",NA,657.6578374,"sibly"
"Ajaia ajaja","Ajaia",NA,1480,"avian"
"Akis acuminata","Akis",21.55,NA,"teneb"
"Akis bacarozzo","Akis",17.5,NA,"teneb"
"Akis bayardi","Akis",21,NA,"teneb"
"Akis bremeri","Akis",21,NA,"teneb"
"Akis discoidea","Akis",18.75,NA,"teneb"
"Akis dorsigera","Akis",24.2,NA,"teneb"
"Akis duplicata","Akis",20.45,NA,"teneb"
"Akis elegans","Akis",20,NA,"teneb"
"Akis elongata","Akis",22,NA,"teneb"
"Akis genei","Akis",20.2,NA,"teneb"
"Akis granulifera","Akis",23.1,NA,"teneb"
"Akis hispanica","Akis",19,NA,"teneb"
"Akis ilonka","Akis",22.8,NA,"teneb"
"Akis italica","Akis",21.5,NA,"teneb"
"Akis latreillei","Akis",23,NA,"teneb"
"Akis lusitanica","Akis",18.5,NA,"teneb"
"Akis nevadensis","Akis",18.75,NA,"teneb"
"Akis salzei","Akis",19.5,NA,"teneb"
"Akis sansi","Akis",20.48,NA,"teneb"
"Akis subterranea","Akis",19,NA,"teneb"
"Akis trilineata","Akis",20.25,NA,"teneb"
"Akodon aerosus","Akodon",NA,59.99,"Pantheria"
"Akodon affinis","Akodon",NA,24.89,"Pantheria"
"Akodon albiventer","Akodon",NA,25.95,"Pantheria"
"Akodon azarae","Akodon",NA,25.27,"Pantheria"
"Akodon bogotensis","Akodon",NA,12.99,"Pantheria"
"Akodon boliviensis","Akodon",NA,27.5,"Pantheria"
"Akodon budini","Akodon",NA,26.9,"Pantheria"
"Akodon cursor","Akodon",NA,39.84,"Pantheria"
"Akodon dayi","Akodon",NA,32.49,"Pantheria"
"Akodon dolores","Akodon",NA,50.49,"Pantheria"
"Akodon fumeus","Akodon",NA,22.69,"Pantheria"
"Akodon iniscatus","Akodon",NA,28.7,"Pantheria"
"Akodon juninensis","Akodon",NA,38.99,"Pantheria"
"Akodon kofordi","Akodon",NA,29.49,"Pantheria"
"Akodon latebricola","Akodon",NA,38.99,"Pantheria"
"Akodon lindberghi","Akodon",NA,26.4,"Pantheria"
"Akodon lutescens","Akodon",97,20.69,"Pantheria"
"Akodon mimus","Akodon",NA,23.99,"Pantheria"
"Akodon molinae","Akodon",NA,32.99,"Pantheria"
"Akodon mollis","Akodon",NA,30.39,"Pantheria"
"Akodon montensis","Akodon",75,13.52,"Pantheria"
"Akodon neocenus","Akodon",NA,42.39,"Pantheria"
"Akodon orophilus","Akodon",NA,38.99,"Pantheria"
"Akodon sanctipaulensis","Akodon",88.25,27.1,"Pantheria"
"Akodon serrensis","Akodon",95.97,28.3,"Pantheria"
"Akodon siberiae","Akodon",NA,34.6,"Pantheria"
"Akodon simulator","Akodon",NA,42.5,"Pantheria"
"Akodon spegazzinii","Akodon",98.99,28.6,"Pantheria"
"Akodon subfuscus","Akodon",NA,30.39,"Pantheria"
"Akodon surdus","Akodon",NA,38.99,"Pantheria"
"Akodon sylvanus","Akodon",NA,38.99,"Pantheria"
"Akodon toba","Akodon",NA,51.2,"Pantheria"
"Akodon torques","Akodon",NA,38.99,"Pantheria"
"Akodon varius","Akodon",NA,40,"Pantheria"
"Alacia belgicae","Alacia",2.4,NA,"brose"
"Alacia hettacra","Alacia",2.4,NA,"brose"
"Alaemon alaudipes","Alaemon",NA,38.75,"avian"
"Alaskozetes antarcticus","Alaskozetes",NA,0.00012704,"ehnes"
"Alaskozetes antarcticus","Alaskozetes",0.98,0.0001601,"lw.misc"
"Alaskozetes antarcticus","Alaskozetes",0.69,6.79e-05,"lw.misc"
"Alaskozetes antarcticus","Alaskozetes",0.34,6.3e-06,"lw.misc"
"Alauda arvensis","Alauda",NA,34.6,"anAge"
"Alauda arvensis","Alauda",NA,36.4,"avian"
"Alauda arvensis","Alauda",NA,37.32501578,"sibly"
"Alauda gulgula","Alauda",NA,26.05,"avian"
"Albanotrechus beroni","Albanotrechus ",7.5,NA,"carabid"
"Alburnoides bipunctatus","Alburnoides",90,5.63226466858265,"fishbase"
"Alburnus alburnus","Alburnus",150,34.3847636477242,"fishbase"
"Alca torda","Alca",NA,726,"anAge"
"Alca torda","Alca",NA,717,"avian"
"Alca torda","Alca",NA,726.1059574,"sibly"
"Alcedo atthis","Alcedo",NA,32.85,"anAge"
"Alcedo atthis","Alcedo",NA,42.35,"avian"
"Alcedo atthis","Alcedo",NA,31.11716337,"sibly"
"Alcedo azurea","Alcedo",NA,33.85,"avian"
"Alcedo cristata","Alcedo",NA,14.8,"avian"
"Alcedo leucogaster","Alcedo",NA,14.6,"avian"
"Alcedo pusilla","Alcedo",NA,14.5,"avian"
"Alcedo quadribrachys","Alcedo",NA,35.55,"avian"
"Alcedo semitorquata","Alcedo",NA,37.6,"avian"
"Alcelaphus buselaphus","Alcelaphus",NA,159000,"anAge"
"Alcelaphus buselaphus","Alcelaphus",1974.99,160937.86,"Pantheria"
"Alcelaphus caama","Alcelaphus",NA,176115.97,"Pantheria"
"Alcelaphus lichtensteinii","Alcelaphus",NA,168695.66,"Pantheria"
"Alces alces","Alces",NA,355500,"anAge"
"Alces alces","Alces",2930.47,461900.76,"Pantheria"
"Alces americanus","Alces",2097.16,541460.44,"Pantheria"
"Alcyonidium sp.","Alcyonidium",100,NA,"brose"
"Alcyonium antarcticum","Alcyonium",57,NA,"brose"
"Aldrichetta forsteri","Aldrichetta",NA,522.5,"anAge"
"Aldrichetta forsteri","Aldrichetta",250,NA,"fishbase"
"Aleadryas rufinucha","Aleadryas",NA,37,"avian"
"Alectoris barbara","Alectoris",NA,500,"avian"
"Alectoris barbara","Alectoris",NA,415.9106105,"sibly"
"Alectoris chukar","Alectoris",NA,518.5,"avian"
"Alectoris chukar","Alectoris",NA,502.3425895,"sibly"
"Alectoris graeca","Alectoris",NA,637.5,"avian"
"Alectoris graeca","Alectoris",NA,594.2921586,"sibly"
"Alectoris rufa","Alectoris",NA,528,"anAge"
"Alectoris rufa","Alectoris",NA,477.5,"avian"
"Alectoris rufa","Alectoris",NA,528.4452518,"sibly"
"Alectura lathami","Alectura",NA,2340,"anAge"
"Alectura lathami","Alectura",NA,2330,"avian"
"Alectura lathami","Alectura",700,NA,"brose"
"Alethe diademata","Alethe",NA,31.2,"avian"
"Alethe fuelleborni","Alethe",NA,49.35,"avian"
"Alethe poliocephala","Alethe",NA,26.55,"avian"
"Alethe poliophrys","Alethe",NA,35.2,"avian"
"Alexandrella mixta","Alexandrella",35,NA,"brose"
"Algyroides moreoticus","Algyroides",45,3.2,"jzo"
"Algyroides nigropunctatus","Algyroides",41.995,NA,"grimm"
"Alionycteris paucidentata","Alionycteris",63.8,16.24,"Pantheria"
"Alisterus scapularis","Alisterus",NA,232.5,"anAge"
"Alisterus scapularis","Alisterus",NA,232.2,"avian"
"Allacma fusca","Allacma",NA,0.002575,"ehnes"
"Allactaga elater","Allactaga",NA,58.7,"anAge"
"Allactaga elater","Allactaga",NA,59,"Pantheria"
"Allactaga euphratica","Allactaga",NA,232,"anAge"
"Allactaga euphratica","Allactaga",NA,232,"Pantheria"
"Allactaga major","Allactaga",NA,350,"anAge"
"Allactaga sibirica","Allactaga",NA,117.5,"anAge"
"Allactaga tetradactyla","Allactaga",NA,52,"Pantheria"
"Allardius oculatus","Allardius",14,NA,"teneb"
"Allardius sardiniensis","Allardius",13.5,NA,"teneb"
"Alle alle","Alle",NA,152.5,"avian"
"Alle alle","Alle",NA,180.7174126,"sibly"
"Alleculidae","",11.955,0.02116897953,"lw.misc"
"Allegrettia boldorii","Allegrettia",9,NA,"carabid"
"Allegrettia pavani","Allegrettia",9,NA,"carabid"
"Allegrettia tacoensis","Allegrettia",8.5,NA,"carabid"
"Allegrettia zavattarii","Allegrettia",7.5,NA,"carabid"
"Allenopithecus nigroviridis","Allenopithecus",NA,4702.5,"anAge"
"Allenopithecus nigroviridis","Allenopithecus",459.99,4749.96,"Pantheria"
"Alligator mississippiensis","Alligator",NA,75539.5,"anAge"
"Allocapnia spp.","Allocapnia",4.05,0.000223501878,"lw.misc"
"Allocapnia spp.","Allocapnia",4.15,0.000183355594,"lw.misc"
"Allocapnia spp.","Allocapnia",3.8,0.00011065774,"lw.misc"
"Allocebus trichotis","Allocebus",133.99,78.09,"Pantheria"
"Allocyttus niger","Allocyttus",NA,825,"anAge"
"Allocyttus verrucosus","Allocyttus",NA,1100,"anAge"
"Allolobophora caliginosa","Allolobophora",NA,0.47,"ehnes"
"Allophylax brevicollis","Allophylax",9.65,NA,"teneb"
"Allophylax picipes","Allophylax",8.25,NA,"teneb"
"Allophylax sardous","Allophylax",7.2,NA,"teneb"
"Alloxysta victrix","Alloxysta",NA,5.86e-05,"brose"
"Alluroteuthis antarcticus","Alluroteuthis",100,NA,"brose"
"Alomasoma belyaevi","Alomasoma",94,NA,"brose"
"Alopecosa juv.","Alopecosa",NA,0.00151666666666667,"ehnes"
"Alopecosa kochi","Alopecosa",NA,0.1,"ehnes"
"Alopecosa spec","Alopecosa",NA,0.047,"ehnes"
"Alopias superciliosus","Alopias",NA,200090,"anAge"
"Alopochen aegyptiaca","Alopochen",NA,1900,"anAge"
"Alopochen aegyptiacus","Alopochen",NA,1862.5,"avian"
"Alopochen aegyptiacus","Alopochen",NA,1874.994508,"sibly"
"Alopoglossus angulatus","Alopoglossus",48.98,2.4,"jzo"
"Alopoglossus atriventris","Alopoglossus",53,4.5,"jzo"
"Alopoglossus buckleyi","Alopoglossus",45,2.1,"jzo"
"Alopoglossus copii","Alopoglossus",58,6,"jzo"
"Alosa aestivalis","Alosa",NA,110,"anAge"
"Alosa agone","Alosa",NA,825,"anAge"
"Alosa alosa","Alosa",NA,2200,"anAge"
"Alosa caspia","Alosa",NA,65,"anAge"
"Alosa chrysochloris","Alosa",NA,935,"anAge"
"Alosa macedonica","Alosa",NA,330,"anAge"
"Alosa pseudoharengus","Alosa",NA,110,"anAge"
"Alosa pseudoharengus","Alosa",300,336.054468239876,"fishbase"
"Alosa sapidissima","Alosa",NA,3025,"anAge"
"Alouatta belzebul","Alouatta",550.38,6157.91,"Pantheria"
"Alouatta caraya","Alouatta",NA,5462.5,"anAge"
"Alouatta caraya","Alouatta",558.16,5576.96,"Pantheria"
"Alouatta fusca","Alouatta",NA,5540,"anAge"
"Alouatta guariba","Alouatta",514.53,5188.33,"Pantheria"
"Alouatta palliata","Alouatta",NA,5835,"anAge"
"Alouatta palliata","Alouatta",576.35,6576.99,"Pantheria"
"Alouatta pigra","Alouatta",NA,7000,"anAge"
"Alouatta pigra","Alouatta",566.94,7172.06,"Pantheria"
"Alouatta sara","Alouatta",NA,6611,"anAge"
"Alouatta sara","Alouatta",NA,6611.04,"Pantheria"
"Alouatta seniculus","Alouatta",NA,6543.2,"anAge"
"Alouatta seniculus","Alouatta",560.21,6398.31,"Pantheria"
"Alpaeus alpicola ","Nebria",14,NA,"carabid"
"Alphasida alcirensis","Alphasida",16.5,NA,"teneb"
"Alphasida alonensis","Alphasida",16,NA,"teneb"
"Alphasida altomirana","Alphasida",15.5,NA,"teneb"
"Alphasida amorii","Alphasida",17,NA,"teneb"
"Alphasida annina","Alphasida",13,NA,"teneb"
"Alphasida ardoisi","Alphasida",13.5,NA,"teneb"
"Alphasida argenteolimbata","Alphasida",16.5,NA,"teneb"
"Alphasida asperata","Alphasida",13.6,NA,"teneb"
"Alphasida asturica","Alphasida",15.5,NA,"teneb"
"Alphasida baezensis","Alphasida",13.5,NA,"teneb"
"Alphasida becerrae","Alphasida",18,NA,"teneb"
"Alphasida boscai","Alphasida",13,NA,"teneb"
"Alphasida breuiliana","Alphasida",14.5,NA,"teneb"
"Alphasida brevicosta","Alphasida",14.5,NA,"teneb"
"Alphasida brevipubens","Alphasida",14,NA,"teneb"
"Alphasida calagurriensis","Alphasida",13,NA,"teneb"
"Alphasida calumniata","Alphasida",16,NA,"teneb"
"Alphasida castellana","Alphasida",11.25,NA,"teneb"
"Alphasida conjucta","Alphasida",14.5,NA,"teneb"
"Alphasida cordubensis","Alphasida",12.5,NA,"teneb"
"Alphasida cortesensis","Alphasida",15,NA,"teneb"
"Alphasida costulata","Alphasida",15,NA,"teneb"
"Alphasida dantini","Alphasida",13.5,NA,"teneb"
"Alphasida deyrollei","Alphasida",14.5,NA,"teneb"
"Alphasida discostriata","Alphasida",13,NA,"teneb"
"Alphasida dubia","Alphasida",16.5,NA,"teneb"
"Alphasida elongata","Alphasida",13.5,NA,"teneb"
"Alphasida espanoli","Alphasida",15.5,NA,"teneb"
"Alphasida exilata","Alphasida",13,NA,"teneb"
"Alphasida ferreri","Alphasida",17,NA,"teneb"
"Alphasida frigidissima","Alphasida",14.5,NA,"teneb"
"Alphasida gigas","Alphasida",18.5,NA,"teneb"
"Alphasida goudoti","Alphasida",14,NA,"teneb"
"Alphasida gracilis","Alphasida",12.9166666666667,NA,"teneb"
"Alphasida granadina","Alphasida",13,NA,"teneb"
"Alphasida grandipalpis","Alphasida",15.5,NA,"teneb"
"Alphasida granifera","Alphasida",12,NA,"teneb"
"Alphasida granipunctipennis","Alphasida",14.5,NA,"teneb"
"Alphasida granosa","Alphasida",17,NA,"teneb"
"Alphasida granulifera","Alphasida",12.5,NA,"teneb"
"Alphasida grossa","Alphasida",14.2333333333333,NA,"teneb"
"Alphasida hesperica","Alphasida",13.75,NA,"teneb"
"Alphasida heydeni","Alphasida",16.5,NA,"teneb"
"Alphasida hispalensis","Alphasida",16.5,NA,"teneb"
"Alphasida hispanica","Alphasida",13.5,NA,"teneb"
"Alphasida holosericea","Alphasida",18,NA,"teneb"
"Alphasida ibicensis","Alphasida",16,NA,"teneb"
"Alphasida indecisa","Alphasida",16.25,NA,"teneb"
"Alphasida inesperata","Alphasida",12.5,NA,"teneb"
"Alphasida ithana","Alphasida",13,NA,"teneb"
"Alphasida javalambrensis","Alphasida",14.75,NA,"teneb"
"Alphasida jumillensis","Alphasida",13.5,NA,"teneb"
"Alphasida koltzei","Alphasida",12.75,NA,"teneb"
"Alphasida lacunosa","Alphasida",10,NA,"teneb"
"Alphasida laevis","Alphasida",13.5833333333333,NA,"teneb"
"Alphasida lassallei","Alphasida",19,NA,"teneb"
"Alphasida lazaroi","Alphasida",19,NA,"teneb"
"Alphasida leonensis","Alphasida",16,NA,"teneb"
"Alphasida lorcana","Alphasida",19.125,NA,"teneb"
"Alphasida loroi","Alphasida",13.75,NA,"teneb"
"Alphasida lucens","Alphasida",13,NA,"teneb"
"Alphasida luctuosa","Alphasida",13,NA,"teneb"
"Alphasida lusitana","Alphasida",12.25,NA,"teneb"
"Alphasida magnifica","Alphasida",15,NA,"teneb"
"Alphasida marseuli","Alphasida",14,NA,"teneb"
"Alphasida martinezi","Alphasida",19,NA,"teneb"
"Alphasida medae","Alphasida",16,NA,"teneb"
"Alphasida merceti","Alphasida",17,NA,"teneb"
"Alphasida meridionalis","Alphasida",15.5,NA,"teneb"
"Alphasida multicostata","Alphasida",16.25,NA,"teneb"
"Alphasida multigranulosa","Alphasida",15.3,NA,"teneb"
"Alphasida oberthueri","Alphasida",18,NA,"teneb"
"Alphasida olmedensis","Alphasida",14,NA,"teneb"
"Alphasida ovalaris","Alphasida",14.25,NA,"teneb"
"Alphasida ovalis","Alphasida",15,NA,"teneb"
"Alphasida parallela","Alphasida",14,NA,"teneb"
"Alphasida perezarcasi","Alphasida",16.5,NA,"teneb"
"Alphasida pilosipennis","Alphasida",12.5,NA,"teneb"
"Alphasida porcata","Alphasida",13,NA,"teneb"
"Alphasida pozuelensis","Alphasida",15,NA,"teneb"
"Alphasida pseudogoudoti","Alphasida",14.5,NA,"teneb"
"Alphasida punctigranosa","Alphasida",16.5,NA,"teneb"
"Alphasida punctipennis","Alphasida",13.5,NA,"teneb"
"Alphasida querensis","Alphasida",15,NA,"teneb"
"Alphasida rectipennis","Alphasida",15.55,NA,"teneb"
"Alphasida robusta","Alphasida",14.5,NA,"teneb"
"Alphasida rufomarginalis","Alphasida",16.25,NA,"teneb"
"Alphasida rufopubescens","Alphasida",16,NA,"teneb"
"Alphasida ruiderensis","Alphasida",14.5,NA,"teneb"
"Alphasida sagrensis","Alphasida",13,NA,"teneb"
"Alphasida salmantina","Alphasida",15.5,NA,"teneb"
"Alphasida solieri","Alphasida",20.1,NA,"teneb"
"Alphasida squalida","Alphasida",14,NA,"teneb"
"Alphasida strangulata","Alphasida",16,NA,"teneb"
"Alphasida sulcata","Alphasida",16,NA,"teneb"
"Alphasida toletana","Alphasida",14.5,NA,"teneb"
"Alphasida turrillensis","Alphasida",14.5,NA,"teneb"
"Alphasida typica","Alphasida",19,NA,"teneb"
"Alphasida uhagoni","Alphasida",15,NA,"teneb"
"Alphasida vinalopensis","Alphasida",14,NA,"teneb"
"Alphasida volxemi","Alphasida",19,NA,"teneb"
"Alphasida zapateri","Alphasida",14,NA,"teneb"
"Alphitophagus obtusangulus","Alphitophagus",3.05,NA,"teneb"
"Alphitophagus xaxarsi","Alphitophagus",3,NA,"teneb"
"Alpiodytes pennina","Alpiodytes",1,NA,"carabid"
"Alpiodytes ravizzai","Alpiodytes",1.5,NA,"carabid"
"Alsophylax pipiens","Alsophylax",41.6,1.5,"jzo"
"Alticola argentatus","Alticola",NA,37.7,"anAge"
"Alticola argentatus","Alticola",107.18,37.69,"Pantheria"
"Alticola roylei","Alticola",NA,37,"Pantheria"
"Alticola stoliczkanus","Alticola",108.4,30.14,"Pantheria"
"Alticola strelzowi","Alticola",NA,50,"anAge"
"Alticola strelzowi","Alticola",116.65,49.99,"Pantheria"
"Alytes cisternasii","Alytes",37.5633333333333,5.02,"amph"
"Alytes dickhilleni","Alytes",45.935,NA,"amph"
"Alytes muletensis","Alytes",35.1766666666667,2.31,"amph"
"Alytes obstetricans","Alytes",47.31,11.7,"amph"
"Amadina erythrocephala","Amadina",NA,23.15,"avian"
"Amadina fasciata","Amadina",NA,17.9,"avian"
"Amalocichla incerta","Amalocichla",NA,26.5,"avian"
"Amandava amandava","Amandava",NA,9.9,"avian"
"Amandava subflava","Amandava",NA,5.55,"avian"
"Amara aberrans ","Amara",2,NA,"carabid"
"Amara aenea","Amara",7,NA,"carabid"
"Amara affinis ","Amara",5.5,NA,"carabid"
"Amara albarracina","Amara",6.5,NA,"carabid"
"Amara alpestris","Amara",11,NA,"carabid"
"Amara alpicola ","Amara",5.5,NA,"carabid"
"Amara alpina","Amara",9.5,NA,"carabid"
"Amara ambulans ","Amara",6,NA,"carabid"
"Amara anthobia","Amara",6,NA,"carabid"
"Amara apricaria","Amara",7.5,NA,"carabid"
"Amara arcuata","Amara",6,NA,"carabid"
"Amara arenaria","Amara",5.5,NA,"carabid"
"Amara atlantis","Amara",7,NA,"carabid"
"Amara aulica","Amara",12.5,NA,"carabid"
"Amara barcelonensis","Amara",7,NA,"carabid"
"Amara bickhardti  ","Amara",6,NA,"carabid"
"Amara bifrons","Amara",6,NA,"carabid"
"Amara brevis ","Amara",7.5,NA,"carabid"
"Amara brunnea","Amara",6,NA,"carabid"
"Amara cardui","Amara",9,NA,"carabid"
"Amara castanea","Amara",10,NA,"carabid"
"Amara chaudoiri","Amara",9,NA,"carabid"
"Amara chlorotica","Amara",6.5,NA,"carabid"
"Amara coiffaiti ","Amara",6.5,NA,"carabid"
"Amara colasi","Amara",8.5,NA,"carabid"
"Amara communis","Amara",6,NA,"carabid"
"Amara concinna ","Amara",7.5,NA,"carabid"
"Amara constantini","Amara",6,NA,"carabid"
"Amara consularis","Amara",8,NA,"carabid"
"Amara convexior","Amara",8,NA,"carabid"
"Amara convexiuscula","Amara",11,NA,"carabid"
"Amara corpulenta","Amara",6.5,NA,"carabid"
"Amara cottyi","Amara",5,NA,"carabid"
"Amara crenata ","Amara",7.5,NA,"carabid"
"Amara cribricollis","Amara",11.5,NA,"carabid"
"Amara cuniculina ","Amara",5.5,NA,"carabid"
"Amara cursitans","Amara",8,NA,"carabid"
"Amara curta","Amara",6,NA,"carabid"
"Amara cyrenaica","Amara",8.5,NA,"carabid"
"Amara dalmatina ","Amara",7.5,NA,"carabid"
"Amara deserta","Amara",11,NA,"carabid"
"Amara dichroa","Amara",7.5,NA,"carabid"
"Amara ditomoides","Amara",7.5,NA,"carabid"
"Amara doderoi","Amara",5.5,NA,"carabid"
"Amara equestris","Amara",10.5,NA,"carabid"
"Amara erratica","Amara",7,NA,"carabid"
"Amara erythrocnema ","Amara",7,NA,"carabid"
"Amara espagnoli","Amara",10,NA,"carabid"
"Amara eurynota","Amara",11,NA,"carabid"
"Amara eximia ","Amara",7.5,NA,"carabid"
"Amara famelica","Amara",7.5,NA,"carabid"
"Amara familiaris","Amara",7,NA,"carabid"
"Amara fervida","Amara",6.5,NA,"carabid"
"Amara floralis","Amara",7,NA,"carabid"
"Amara frigida","Amara",7,NA,"carabid"
"Amara fulva","Amara",9,NA,"carabid"
"Amara fulvipes","Amara",10.5,NA,"carabid"
"Amara fusca ","Amara",8,NA,"carabid"
"Amara gebleri","Amara",12.5,NA,"carabid"
"Amara glabrata ","Amara",7.5,NA,"carabid"
"Amara gorevillei","Amara",8.5,NA,"carabid"
"Amara gottelandi","Amara",6.5,NA,"carabid"
"Amara gravidula","Amara",8,NA,"carabid"
"Amara hyperborea ","Amara",11,NA,"carabid"
"Amara hypsophila","Amara",8,NA,"carabid"
"Amara infima","Amara",4.5,NA,"carabid"
"Amara infuscata","Amara",10,NA,"carabid"
"Amara ingenua","Amara",10,NA,"carabid"
"Amara interstitialis ","Amara",8.5,NA,"carabid"
"Amara kocheri","Amara",6.5,NA,"carabid"
"Amara krueperi","Amara",8.5,NA,"carabid"
"Amara kulti","Amara",9,NA,"carabid"
"Amara lantoscana","Amara",6.5,NA,"carabid"
"Amara liouvillei","Amara",8.5,NA,"carabid"
"Amara littorea","Amara",7.5,NA,"carabid"
"Amara lucida","Amara",5,NA,"carabid"
"Amara lunicollis","Amara",7.5,NA,"carabid"
"Amara maindroni","Amara",10.5,NA,"carabid"
"Amara mairei","Amara",6,NA,"carabid"
"Amara majuscula","Amara",8.5,NA,"carabid"
"Amara malacensis","Amara",7.5,NA,"carabid"
"Amara messae","Amara",6.5,NA,"carabid"
"Amara metallescens ","Amara",8,NA,"carabid"
"Amara misella","Amara",6,NA,"carabid"
"Amara montana ","Amara",7,NA,"carabid"
"Amara montivaga","Amara",8,NA,"carabid"
"Amara morio","Amara",7,NA,"carabid"
"Amara municipalis","Amara",6,NA,"carabid"
"Amara nigricornis","Amara",7.5,NA,"carabid"
"Amara nitida","Amara",8,NA,"carabid"
"Amara nobilis","Amara",9,NA,"carabid"
"Amara notha","Amara",9.5,NA,"carabid"
"Amara oertzeni","Amara",6.5,NA,"carabid"
"Amara ooptera","Amara",6,NA,"carabid"
"Amara otini","Amara",5.5,NA,"carabid"
"Amara ovata","Amara",8.5,NA,"carabid"
"Amara parvicollis","Amara",9,NA,"carabid"
"Amara perabdita","Amara",10,NA,"carabid"
"Amara plebeja","Amara",7,NA,"carabid"
"Amara praetermissa","Amara",6.5,NA,"carabid"
"Amara proxima","Amara",7.5,NA,"carabid"
"Amara pueli","Amara",6.5,NA,"carabid"
"Amara pulpani","Amara",7,NA,"carabid"
"Amara puncticollis ","Amara",8.5,NA,"carabid"
"Amara pyrenaea ","Amara",9.5,NA,"carabid"
"Amara quenseli","Amara",7.5,NA,"carabid"
"Amara quenseli","Amara",NA,0.015,"ehnes"
"Amara reflexicollis","Amara",10.5,NA,"carabid"
"Amara refulgens","Amara",7,NA,"carabid"
"Amara reichei","Amara",11,NA,"carabid"
"Amara rotundata ","Amara",4,NA,"carabid"
"Amara rotundicollis","Amara",6.5,NA,"carabid"
"Amara rufescens","Amara",9,NA,"carabid"
"Amara rufipes ","Amara",8.5,NA,"carabid"
"Amara rufoaenea ","Amara",8.5,NA,"carabid"
"Amara sabulosa ","Amara",5.5,NA,"carabid"
"Amara saginata ","Amara",7,NA,"carabid"
"Amara saphyrea ","Amara",9,NA,"carabid"
"Amara schimperi","Amara",8,NA,"carabid"
"Amara serdicana","Amara",8.5,NA,"carabid"
"Amara sicula","Amara",5,NA,"carabid"
"Amara similata","Amara",8.5,NA,"carabid"
"Amara simplex ","Amara",6.5,NA,"carabid"
"Amara sollicita","Amara",7.5,NA,"carabid"
"Amara spectabilis","Amara",10.5,NA,"carabid"
"Amara spreta","Amara",8,NA,"carabid"
"Amara strandi","Amara",7,NA,"carabid"
"Amara strenua","Amara",9,NA,"carabid"
"Amara subconvexa","Amara",7.5,NA,"carabid"
"Amara subplanata","Amara",10,NA,"carabid"
"Amara taurica","Amara",11,NA,"carabid"
"Amara tibialis","Amara",4.5,NA,"carabid"
"Amara torrida","Amara",10,NA,"carabid"
"Amara tricuspidata ","Amara",7.5,NA,"carabid"
"Amara uhligi","Amara",6,NA,"carabid"
"Amauropsis rossiana","Amauropsis",25,NA,"brose"
"Amaurornis flavirostra","Amaurornis",NA,94,"avian"
"Amaurornis olivaceus","Amaurornis",NA,177,"avian"
"Amazilia amabilis","Amazilia",NA,3.25,"avian"
"Amazilia amazilia","Amazilia",NA,3.85,"avian"
"Amazilia beryllina","Amazilia",NA,4.8,"avian"
"Amazilia candida","Amazilia",NA,3.75,"avian"
"Amazilia cyanocephala","Amazilia",NA,5.75,"avian"
"Amazilia fimbriata","Amazilia",NA,4.9,"avian"
"Amazilia fimbriata","Amazilia",NA,4.897788194,"sibly"
"Amazilia franciae","Amazilia",NA,4.9,"avian"
"Amazilia lactea","Amazilia",NA,5.4,"avian"
