"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species group","subclass","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe"
2029,"Meriones persicus","species","1395794","Mammalia",NA,"Muridae","Meriones",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Meriones persicus",NA,NA,"Gerbillinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2030,"Meriones unguiculatus","species","10047","Mammalia",NA,"Muridae","Meriones",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Meriones unguiculatus",NA,NA,"Gerbillinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2031,"Merlangius merlangus","species","8058","Actinopteri",NA,"Gadidae","Merlangius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merlangius merlangus",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2032,"Merluccius australis","species","89946","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius australis",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2033,"Merluccius bilinearis","species","79698","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius bilinearis",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2034,"Merluccius capensis","species","89947","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius capensis",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2035,"Merluccius gayi","species","89948","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius gayi",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2036,"Merluccius hubbsi","species","89949","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius hubbsi",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2037,"Merluccius merluccius","species","8063","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius merluccius",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2038,"Merluccius polli","species","89951","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius polli",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
